Projects,False Positive function + code location,Category,Class,"Missing 
Function 
Involved","Fixed on 
9/23/25 vers
(jvan original)","Fixed on 
10/14/25 vers
(DPich v2)",Explaination
BDE,bslmt_latch.cpp 82 BloombergLP::bslmt::Latch::timedWait,FP,Missing model,No,No,No,while (...) timedWait(mutex) will terminate given the time parameter: to write a model for this
BDE,bslmt_latch.cpp 96 BloombergLP::bslmt::Latch::timedWait,Intended,Concurrency,No,No,No,while (...) cond.wait(mutex) may not terminate if another thread does not unblock
BDE,bslmt_readerwriterlock.cpp 64 lockRead,Intended,Concurrency,No,No,Yes,do { ... readCond.wait() } while (1) wont terminate unless another thread breaks it
BDE,bslmt_readerwriterlock.cpp 149 BloombergLP::bslmt::ReaderWriterLock::lockWrite,Intended,Concurrency,No,No,No,while (...) cond.wait(mutex) wont terminate unless another thread breaks it
BDE,bslmt_readerwriterlock.cpp 274 BloombergLP::bslmt::ReaderWriterLock::upgradeToWriteLock,Intended,Concurrency,No,No,No,while (...) cond.wait(mutex) wont terminate unless another thread breaks it
BDE,bslmt_readerwriterlock.cpp 338 BloombergLP::bslmt::ReaderWriterLock::tryUpgradeToWriteLock,Intended,Concurrency,No,No,No,while (...) cond.wait(mutex) wont terminate unless another thread breaks it
BDE,bslmt_sluice.cpp 126 BloombergLP::bslmt::Sluice::wait,Intended,Concurrency,No,No,No,for (;;) { if (signaled) break; } wont terminate unless another thread signals
BDE,bsls_assertimputil.cpp 99 BloombergLP::bsls::AssertImpUtil::failBySleep,FP,Missing model,Yes,No,No,Need a model of sleep() to understand it is terminating
BDE,bsls_bslonce.cpp 55 BloombergLP::bsls::BslOnce::doEnter,Intended,Concurrency,No,No,No,while (state != done) yield() may not terminate until another thread change state
BDE,bsls_spinlock.h 568 BloombergLP::bsls::SpinLock::lockWithoutBackoff,Intended,Concurrency,No,No,No,do { if (acquire(state)) break; } while (1) may not terminate until another thread change state
BDE,bslstl_stopstate.cpp 91 BloombergLP::bslstl::StopState::deregister,Intended,Concurrency,No,No,No,while (acquire()) yield() may not terminate until lock is acquired
BDE,bslstl_stopstate.cpp 118 BloombergLP::bslstl::StopState::requestStop,Intended,Concurrency,No,No,No,while (true) { BslLockGuard(mutex); if (finish) break; }  may not terminate until another thread progress
FreeImage,GetType.cpp 39 FreeImage_GetFileTypeFromHandle,FP,Fixed,No,No,Yes,for (int i = 0; i < fif_count; ++i) definitely terminates
FreeImage,PluginDDS.cpp 229 GetBlockColors,FP,Fixed,No,No,Yes,for (i = 0; i < 2; i++) definitely terminates
FreeImage,WuQuantizer.cpp 172 M3D,FP,Fixed,No,No,Yes,for(i = 0; i <= 32; i++) definitely terminates
FreeImage,jdapistd.c 105 output_pass_setup,Unsure,Missing function,Yes,No,No,Unknown FPTR while (cinfo->master->is_dummy_pass) { (*cinfo->main->process_data)() }
FreeImage,jdsample.c 211 int_upsample,Unintended,Real bug,No,No,Yes,if h_expand = 0 (coming from sample!) then loop while (outptr < outend) never progress
FreeImage,jfdctint.c 846 jpeg_fdct_3x3,FP,Fixed,No,No,Yes,for (ctr = 0; ctr < 3; ctr++) { definitely terminates
FreeImage,jidctint.c 970 jpeg_idct_3x3,FP,Fixed,No,No,Yes,for (ctr = 0; ctr < 3; ctr++) { definitely terminates
FreeImage,transupp.c 701 do_rot_180,FP,Fixed,No,No,Yes,for (j = 0; j < DCTSIZE; j++) definitely terminates
FreeImage,transupp.c 811 do_transverse,FP,Fixed,No,No,Yes,for (j = 0; j < DCTSIZE; j++) definitely terminates
FreeImage,dcraw_common.cpp 1195 / layer_thumb,FP,Fixed,No,No,Yes,for (i=0; i < thumb_length; i++) where thumb_length is a global
FreeImage,dcraw_common.cpp 4421 / ahd_interpolate_combine_homogeneous_pixels,FP,Fixed,No,No,Yes,for (direction = 0; direction < 2; direction++) definitely terminates
FreeImage,dcraw_common.cpp 6526  / parse_riff,FP,Missing model,Yes,No,Yes,while (ftell()) ... needs summary for ftell
FreeImage,libraw_x3f.cpp camf_decode_type4,Unintended,Real bug,No,No,Yes,
FreeImage,tif_dirwrite.c 2509 / TIFFLinkDirectory,FP,Missing function,Yes,No,Yes,while (1) { if (ReadOK()) break; } where ReadOK is a macro calling a funcptr
FreeImage,tif_predict.c 283 / horAcc8,Unintended,Real bug,,No,Yes,This is guarded by assert() so may not be triggerable - should do proper error return path
FreeImage,tif_predict.c horAcc16,Unintended,Real bug,,No,Yes,This is guarded by assert() so may not be triggerable - should do proper error return path
FreeImage,tif_predict.c horAcc32,Unintended,Real bug,,No,Yes,This is guarded by assert() so may not be triggerable - should do proper error return path
FreeImage,tif_predict.c horDiff8,Unintended,Real bug,,No,Yes,This is guarded by assert() so may not be triggerable - should do proper error return path
FreeImage,tif_predict.c horDiff16,Unintended,Real bug,,No,Yes,This is guarded by assert() so may not be triggerable - should do proper error return path
FreeImage,tif_predict.c horDiff32,Unintended,Real bug,,No,Yes,This is guarded by assert() so may not be triggerable - should do proper error return path
FreeImage,IexThrowErrnoExc.cpp 58 / Iex::throwErrnoExc,FP,Missing model,,No,No,"while (std::string::npos != (pos = tmp.find (""%T""))) tmp.replace(...) will terminate due to programming idiom"
FreeImage,ImfRgbaFile.cpp 1104 / rotateBuf2,FP,Unknown,No,No,Yes,for (int i = 0; i < 3; ++i) definitely terminates. Note: exactly same loop earlier in func. Is there a cfg node issue?
FreeImage,ImfScanLineInputFile.cpp 251 / reconstructLineOffsets,FP,Unknown,No,No,Yes,for (unsigned int i = 0; i < lineOffsets.size(); i++) definitely terminates
FreeImage,IlmThreadPool.cpp 128 / run,Intended,Concurrency,Yes,No,Yes,while (true) { data.semaphore.wait(); if (data.stopped()) break; } need concurrent thread to terminate
FreeImage,ImathMatrixAlgo.cpp 1193 / Imath::maxEigenVector<35744cde3aac9d8>,FP,Unknown,No,No,Yes,for(unsigned int i = 0; i < TV::dimensions(); ++i) terminates (note: has 2 exact copies of this loop in the code! bug due to optim?)
FreeImage,ImathMatrixAlgo.cpp 1212 / Imath::minEigenVector<35744cde3aac9d8>,FP,Unknown,No,No,Yes,for(unsigned int i = 0; i < TV::dimensions(); ++i) terminates (note: has 2 exact copies of this loop in the code! bug due to optim?)
